iteration,proposal,fitness,cycle_time
1,"[[25, 44], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.112286942594882,11.953880310058594
1,"[[45, 44], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9822265157146066,11.95388126373291
1,"[[35, 34], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.8726970346397787,11.953881740570068
1,"[[35, 54], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9409952513148372,11.953882217407227
1,"[[35, 44], [32, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9452268548638907,11.953883171081543
1,"[[35, 44], [52, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.0473611340002233,11.953883647918701
1,"[[35, 44], [42, 5], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9800973802270336,11.95388412475586
1,"[[35, 44], [42, 25], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9420783264586887,11.953884363174438
1,"[[35, 44], [42, 15], [30, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9263317163785687,11.953885078430176
1,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.4401677056720605,11.953885555267334
1,"[[35, 44], [42, 15], [40, 83], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9783867549388945,11.953886032104492
1,"[[35, 44], [42, 15], [40, 103], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.8156130306109561,11.95388674736023
1,"[[35, 44], [42, 15], [40, 93], [12, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.905203496678441,11.953886985778809
1,"[[35, 44], [42, 15], [40, 93], [32, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9039560249776672,11.953887462615967
1,"[[35, 44], [42, 15], [40, 93], [22, -2], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9449086025445093,11.953887701034546
1,"[[35, 44], [42, 15], [40, 93], [22, 18], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.0096848699124017,11.953888177871704
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [19, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.1420849828913435,11.953888893127441
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [39, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.8890749290466577,11.9538893699646
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 12], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.9029010755216746,11.953890085220337
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 32], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.1598634892776243,11.953890562057495
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 22], [8, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",-2.0063491423670206,11.953890800476074
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 22], [28, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",1.8700138689688357,11.953891277313232
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 22], [18, 64], [31, 64], [36, 26], [41, 21], [52, 13]]",1.923266242888532,11.95389175415039
