iteration,proposal,fitness,cycle_time
0,"[[37, 90], [11, 85], [53, 81], [30, 88], [27, 44], [19, 6], [50, 99], [1, 98], [5, 93], [22, 44]]",1.3577660699504688,19.416631937026978
0,"[[31, 31], [44, 39], [36, 2], [36, 66], [5, 11], [50, 63], [26, 17], [23, 64], [43, 97], [23, 68]]",1.8290437881429424,19.416632652282715
0,"[[3, 75], [38, 93], [2, 41], [51, 22], [38, 97], [42, 70], [47, 65], [32, 59], [26, 58], [16, 73]]",-6.308584155814336,19.416633129119873
0,"[[17, 97], [51, 48], [43, 35], [50, 19], [34, 90], [20, 91], [47, 100], [31, 24], [52, 70], [24, 47]]",2.22484964524702,19.416633367538452
0,"[[9, 86], [28, 80], [41, 21], [42, 19], [39, 33], [21, 77], [22, 90], [27, 17], [11, 99], [40, 62]]",0.4871154264678257,19.41663432121277
0,"[[43, 96], [8, 9], [25, 25], [51, 75], [12, 76], [48, 88], [46, 79], [18, 46], [39, 40], [14, 70]]",-6.3364859249276,19.416634559631348
0,"[[27, 33], [27, 14], [44, 29], [23, 20], [13, 69], [46, 91], [11, 54], [37, 26], [51, 45], [48, 99]]",-5.9700385523353985,19.416635036468506
0,"[[22, 17], [9, 66], [17, 13], [41, 2], [32, 35], [32, 3], [43, 33], [26, 12], [22, 16], [17, 67]]",-3.3140441017150577,19.416635274887085
0,"[[8, 74], [1, 49], [48, 5], [23, 34], [38, 73], [13, 33], [5, 63], [1, 79], [2, 11], [41, 58]]",-18.61483114686774,19.416635990142822
0,"[[25, 18], [19, 2], [33, 20], [44, 30], [42, 86], [14, 58], [8, 18], [21, 1], [47, 42], [40, 30]]",-2.815049518394369,19.41663646697998
0,"[[3, 73], [42, 62], [47, 34], [32, 34], [44, 13], [28, 49], [23, 9], [8, 3], [48, 76], [14, 62]]",-6.511245057127957,19.41663694381714
0,"[[27, 35], [38, 97], [2, 97], [19, 32], [9, 10], [28, 71], [1, 18], [37, 25], [11, 44], [7, 89]]",-2.9976146893551174,19.416637420654297
0,"[[9, 38], [2, 41], [21, 35], [49, 68], [11, 73], [45, 69], [17, 71], [29, 83], [45, 47], [14, 17]]",-10.204889769159902,19.416637897491455
0,"[[28, 67], [46, 77], [39, 36], [40, 36], [24, 11], [8, 13], [37, 82], [39, 76], [44, 24], [27, 47]]",1.090948096180247,19.416638135910034
0,"[[16, 81], [6, 68], [5, 30], [22, 23], [51, 26], [18, 45], [47, 10], [17, 55], [42, 24], [39, 49]]",-6.082512792997335,19.416638612747192
0,"[[1, 80], [26, 75], [18, 38], [24, 62], [33, 16], [2, 63], [46, 0], [29, 41], [17, 61], [16, 12]]",-3.0522478249151552,19.41663885116577
0,"[[10, 15], [9, 68], [1, 30], [36, 45], [13, 52], [3, 83], [3, 79], [18, 65], [4, 18], [1, 46]]",-19.580413692494282,19.41663956642151
0,"[[42, 95], [40, 62], [53, 59], [13, 79], [30, 64], [42, 79], [10, 60], [33, 99], [3, 85], [26, 51]]",-6.711547789173508,19.416640043258667
0,"[[29, 72], [31, 6], [28, 37], [24, 19], [28, 27], [41, 56], [4, 40], [53, 73], [27, 33], [43, 71]]",-2.1333713026301977,19.416640281677246
0,"[[45, 27], [40, 19], [30, 26], [16, 91], [13, 83], [38, 35], [38, 78], [27, 8], [38, 95], [14, 45]]",-2.599306208791771,19.416640758514404
0,"[[48, 33], [35, 66], [37, 49], [1, 49], [15, 17], [51, 36], [22, 25], [9, 72], [35, 53], [25, 30]]",-6.294560480528146,19.416640996932983
0,"[[9, 52], [28, 59], [20, 69], [49, 15], [33, 55], [39, 4], [16, 79], [50, 23], [21, 58], [2, 94]]",-2.811309981775749,19.41664171218872
0,"[[48, 1], [37, 47], [52, 67], [44, 64], [40, 14], [5, 32], [14, 59], [28, 12], [13, 25], [48, 75]]",-10.011673613690714,19.41664218902588
0,"[[23, 43], [49, 23], [49, 84], [31, 93], [42, 12], [18, 61], [13, 65], [39, 93], [19, 75], [9, 38]]",-5.799638565760981,19.416642427444458
0,"[[39, 94], [23, 67], [35, 14], [26, 67], [25, 80], [6, 16], [48, 12], [45, 60], [42, 65], [30, 26]]",1.4758073807483818,19.416642904281616
0,"[[21, 96], [36, 46], [22, 65], [6, 59], [23, 100], [45, 86], [53, 34], [31, 1], [39, 5], [36, 100]]",-1.8618865837257186,19.416643381118774
0,"[[12, 12], [23, 12], [45, 50], [46, 95], [47, 33], [37, 93], [52, 6], [29, 43], [49, 2], [7, 93]]",1.6711636478123704,19.416643857955933
0,"[[50, 7], [39, 65], [22, 88], [5, 0], [29, 24], [42, 99], [5, 11], [49, 10], [45, 73], [24, 78]]",1.281149839725774,19.41664433479309
0,"[[23, 80], [5, 36], [4, 27], [27, 82], [30, 64], [17, 32], [36, 15], [19, 67], [34, 61], [24, 5]]",-6.815209974734918,19.41664481163025
0,"[[22, 73], [44, 24], [21, 79], [30, 96], [53, 66], [37, 34], [15, 26], [22, 53], [16, 10], [18, 99]]",-1.985237841388356,19.416645288467407
0,"[[13, 48], [10, 7], [16, 66], [31, 71], [9, 7], [25, 4], [8, 42], [37, 61], [16, 75], [25, 99]]",-6.66142878827483,19.416645526885986
0,"[[41, 99], [33, 88], [27, 33], [43, 16], [27, 48], [16, 39], [15, 21], [8, 77], [51, 7], [18, 66]]",-5.870637330770764,19.416646003723145
0,"[[11, 13], [40, 58], [4, 77], [22, 81], [26, 9], [52, 42], [45, 70], [4, 0], [14, 17], [19, 94]]",-2.60723524961431,19.416646242141724
0,"[[25, 28], [5, 24], [48, 29], [34, 32], [52, 51], [15, 44], [47, 78], [48, 32], [2, 41], [28, 100]]",-9.998904572137837,19.416646718978882
0,"[[4, 25], [35, 86], [51, 26], [1, 49], [33, 69], [40, 78], [39, 88], [52, 88], [1, 82], [42, 32]]",-6.143652572380345,19.41664695739746
0,"[[31, 35], [9, 95], [38, 18], [43, 43], [23, 73], [25, 19], [19, 7], [28, 28], [13, 18], [22, 28]]",0.8558710960671183,19.4166476726532
0,"[[35, 99], [16, 24], [19, 48], [14, 25], [9, 86], [48, 76], [7, 71], [15, 15], [21, 61], [24, 3]]",-6.65762910053883,19.416648387908936
0,"[[48, 96], [1, 81], [18, 99], [24, 87], [16, 49], [43, 69], [9, 9], [36, 14], [19, 46], [17, 14]]",1.6247441703025371,19.416648864746094
0,"[[25, 6], [37, 8], [16, 41], [12, 97], [40, 91], [31, 96], [7, 53], [6, 15], [5, 94], [20, 51]]",-2.6977911006006328,19.416649103164673
0,"[[39, 54], [49, 72], [38, 85], [22, 94], [49, 21], [15, 30], [14, 46], [48, 15], [53, 79], [34, 20]]",-5.6705759295938165,19.41664958000183
0,"[[38, 14], [42, 95], [5, 5], [34, 41], [7, 97], [43, 85], [52, 56], [21, 7], [15, 50], [2, 23]]",-6.116352151854892,19.41665005683899
0,"[[46, 38], [51, 7], [37, 30], [7, 19], [22, 46], [51, 11], [14, 10], [44, 40], [53, 15], [28, 49]]",1.2477633521959755,19.41665029525757
0,"[[24, 32], [40, 59], [34, 55], [9, 51], [42, 92], [42, 73], [53, 83], [29, 14], [1, 10], [2, 13]]",-2.5637730042939184,19.416650533676147
0,"[[1, 92], [8, 17], [39, 57], [27, 86], [42, 54], [12, 1], [4, 34], [19, 34], [40, 11], [26, 8]]",-2.8156405707379375,19.416651010513306
0,"[[17, 21], [1, 61], [10, 38], [3, 92], [1, 69], [30, 51], [5, 65], [29, 72], [46, 63], [6, 91]]",-14.873255090828314,19.416651248931885
0,"[[37, 68], [30, 65], [39, 71], [13, 64], [38, 77], [49, 50], [44, 72], [24, 31], [12, 41], [51, 87]]",-5.806945098364177,19.416651964187622
0,"[[16, 15], [51, 93], [29, 0], [29, 44], [42, 48], [9, 89], [52, 60], [2, 8], [35, 6], [13, 57]]",-1.8384546538555662,19.41665291786194
0,"[[22, 91], [3, 3], [34, 89], [11, 17], [34, 28], [48, 23], [42, 79], [45, 28], [16, 88], [44, 5]]",0.9904626935388927,19.416653394699097
0,"[[39, 2], [53, 1], [51, 12], [16, 4], [12, 97], [19, 23], [23, 8], [13, 27], [17, 98], [10, 85]]",-2.986832532644373,19.416653633117676
0,"[[22, 89], [15, 89], [40, 18], [47, 53], [31, 14], [3, 30], [19, 53], [28, 81], [16, 31], [32, 20]]",-2.6509502090406607,19.416654109954834
0,"[[45, 36], [2, 95], [10, 34], [6, 26], [2, 61], [34, 15], [10, 0], [30, 94], [8, 70], [44, 71]]",-14.81621176937603,19.416654348373413
0,"[[47, 21], [52, 99], [38, 60], [32, 85], [23, 56], [49, 87], [44, 32], [17, 54], [3, 51], [16, 0]]",-2.37533178303593,19.41665482521057
0,"[[31, 7], [30, 0], [25, 6], [10, 59], [16, 42], [48, 89], [8, 40], [12, 31], [36, 6], [39, 10]]",-10.498645491172525,19.41665530204773
0,"[[50, 13], [12, 93], [43, 27], [23, 58], [17, 74], [18, 50], [42, 42], [26, 22], [3, 10], [17, 41]]",1.6896057073450172,19.41665554046631
0,"[[25, 72], [16, 22], [26, 40], [14, 46], [40, 63], [14, 94], [52, 92], [27, 87], [25, 84], [15, 53]]",-6.342758349314916,19.416656017303467
0,"[[3, 8], [29, 59], [48, 15], [41, 47], [22, 34], [11, 88], [30, 37], [29, 58], [45, 73], [27, 55]]",1.2280558643038313,19.416656255722046
0,"[[6, 47], [40, 12], [20, 38], [22, 25], [50, 92], [43, 48], [33, 26], [37, 79], [18, 56], [1, 51]]",-6.0840086569535865,19.416656732559204
0,"[[53, 96], [27, 17], [18, 46], [8, 9], [30, 2], [6, 24], [39, 41], [47, 54], [33, 85], [15, 98]]",-2.1384979157013637,19.416656970977783
0,"[[20, 6], [50, 9], [49, 13], [43, 53], [50, 98], [39, 31], [53, 37], [24, 75], [9, 98], [13, 66]]",-1.4768951376385893,19.4166579246521
0,"[[6, 59], [9, 13], [18, 9], [10, 61], [31, 8], [37, 18], [36, 62], [9, 81], [25, 15], [27, 37]]",-7.149333865060566,19.416658639907837
0,"[[37, 59], [24, 89], [28, 37], [27, 64], [34, 65], [24, 59], [26, 86], [13, 32], [46, 58], [37, 7]]",-2.5418182626232637,19.416659116744995
0,"[[51, 62], [8, 12], [14, 24], [52, 61], [45, 43], [25, 64], [34, 98], [7, 15], [36, 56], [2, 80]]",-2.582348888649684,19.416659355163574
0,"[[51, 29], [14, 22], [36, 4], [36, 83], [18, 40], [44, 35], [52, 24], [23, 43], [42, 5], [42, 88]]",-2.19062018780572,19.41666007041931
0,"[[17, 58], [40, 2], [53, 85], [40, 62], [26, 55], [6, 18], [16, 86], [24, 66], [30, 86], [27, 3]]",1.6688933253688591,19.41666030883789
0,"[[8, 67], [9, 17], [23, 23], [36, 14], [12, 53], [41, 6], [5, 89], [35, 16], [39, 36], [50, 97]]",-6.608787707633666,19.41666054725647
0,"[[2, 51], [42, 28], [29, 98], [53, 56], [52, 0], [46, 46], [46, 9], [24, 2], [43, 11], [24, 94]]",-1.6009374906583487,19.416661024093628
0,"[[46, 92], [15, 47], [52, 56], [19, 91], [51, 86], [33, 100], [9, 58], [39, 90], [26, 62], [32, 42]]",-6.127456911744336,19.416661262512207
