proposal,fitness,cycle_time
"[[58, 99], [22, 39], [26, 4], [65, 82], [92, 61], [100, 70], [16, 90], [78, 13], [48, 97], [75, 67]]",1.73007534612363,7.3728883266448975
"[[58, 99], [22, 39], [26, 4], [65, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [75, 67]]",1.8209844370327208,7.394331216812134
"[[58, 99], [22, 39], [26, 4], [65, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [65, 67]]",1.8810391010083882,7.370370149612427
"[[58, 99], [22, 39], [26, 4], [65, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [55, 67]]",1.971538700204829,7.35912823677063
"[[58, 99], [22, 39], [26, 4], [55, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [55, 67]]",2.0758916629490085,7.368511199951172
"[[58, 99], [22, 39], [26, 4], [55, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [55, 57]]",2.1546151554057467,7.380967378616333
"[[58, 99], [22, 39], [26, 4], [45, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [55, 57]]",2.2514356886753695,7.344621181488037
"[[58, 99], [22, 39], [26, 4], [35, 82], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [55, 57]]",2.302189112748347,7.344019412994385
"[[58, 99], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [78, 13], [48, 97], [55, 57]]",2.4460171119306002,7.340318202972412
"[[58, 99], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [68, 13], [48, 97], [55, 57]]",2.482539630415924,7.34827995300293
"[[58, 99], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [58, 13], [48, 97], [55, 57]]",2.670460820940168,7.355664253234863
"[[58, 89], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [58, 13], [48, 97], [55, 57]]",2.6816640474694085,7.3426833152771
"[[58, 79], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [58, 13], [48, 97], [55, 57]]",2.7624902345021836,7.330920457839966
"[[58, 79], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [58, 13], [48, 97], [55, 47]]",2.7815439612643624,7.343383312225342
"[[58, 79], [22, 39], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [58, 13], [48, 97], [45, 47]]",2.7914963538299147,7.370080232620239
"[[58, 79], [22, 29], [26, 4], [35, 72], [92, 51], [100, 70], [16, 90], [58, 13], [48, 97], [45, 47]]",2.8644576531080226,7.39037013053894
"[[58, 79], [22, 29], [26, 4], [35, 72], [82, 51], [100, 70], [16, 90], [58, 13], [48, 97], [45, 47]]",2.8749886860455085,7.361658096313477
"[[58, 79], [22, 29], [26, 4], [35, 72], [72, 51], [100, 70], [16, 90], [58, 13], [48, 97], [45, 47]]",2.893810106614632,7.349311590194702
"[[58, 79], [22, 29], [26, 4], [35, 72], [62, 51], [100, 70], [16, 90], [58, 13], [48, 97], [45, 47]]",2.9218181729377335,7.35586404800415
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [100, 70], [16, 90], [58, 13], [48, 97], [45, 47]]",2.96003165200292,7.363824129104614
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [100, 70], [16, 90], [58, 13], [48, 97], [35, 47]]",2.984632121064249,7.377140760421753
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [100, 70], [16, 80], [58, 13], [48, 97], [35, 47]]",2.986939044150728,7.361656427383423
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [100, 70], [16, 70], [58, 13], [48, 97], [35, 47]]",3.037743238648092,7.352384567260742
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [90, 70], [16, 70], [58, 13], [48, 97], [35, 47]]",3.037743238648092,7.342046499252319
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [48, 97], [35, 47]]",3.037743238648092,7.359947204589844
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [38, 97], [35, 47]]",3.069699367558055,7.341009616851807
"[[58, 79], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [28, 97], [35, 47]]",3.0753287239607294,7.322596073150635
"[[58, 89], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [28, 97], [35, 47]]",3.128960423982027,7.329653739929199
"[[48, 89], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [28, 97], [35, 47]]",3.166424642583886,7.346639156341553
"[[48, 89], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [28, 97], [45, 47]]",3.141824173522557,7.380379676818848
"[[48, 89], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [23, 97], [45, 47]]",3.197395249989335,7.334315538406372
"[[48, 94], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [58, 13], [23, 97], [45, 47]]",3.2497667008832734,7.350955486297607
"[[48, 94], [22, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [53, 13], [23, 97], [45, 47]]",3.288204895677592,7.346389532089233
"[[48, 94], [17, 29], [26, 4], [35, 72], [52, 51], [80, 70], [16, 70], [53, 13], [23, 97], [45, 47]]",3.3168310935137804,7.367828845977783
