iteration,proposal,fitness,cycle_time
1,"[[32, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.1624703820932054,13.75014853477478
1,"[[52, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-1.7381917040504238,13.750149726867676
1,"[[42, 9], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.168410126487821,13.750150203704834
1,"[[42, 29], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.186096700689456,13.750150680541992
1,"[[42, 19], [31, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.2489609683858074,13.750151634216309
1,"[[42, 19], [51, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-1.7834373980301534,13.750152111053467
1,"[[42, 19], [41, 20], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.3522744079066102,13.750152349472046
1,"[[42, 19], [41, 40], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.2092414048181217,13.750152826309204
1,"[[42, 19], [41, 30], [-7, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.2970758626881116,13.750153541564941
1,"[[42, 19], [41, 30], [13, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.1242792505391637,13.7501540184021
1,"[[42, 19], [41, 30], [3, 40], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.176482106767563,13.750154495239258
1,"[[42, 19], [41, 30], [3, 60], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.260050722257729,13.750154972076416
1,"[[42, 19], [41, 30], [3, 50], [28, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.2538054295030983,13.750155448913574
1,"[[42, 19], [41, 30], [3, 50], [48, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-1.960248656642888,13.750155925750732
1,"[[42, 19], [41, 30], [3, 50], [38, -2], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.370176228599022,13.75015640258789
1,"[[42, 19], [41, 30], [3, 50], [38, 18], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.46373670424608,13.75015664100647
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [18, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.04621321424536,13.750157594680786
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [38, 97], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.257481730558249,13.750158309936523
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 87], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.2294243517559265,13.75015902519226
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 107], [7, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.2260577988648627,13.75015926361084
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [-3, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.4325106114255934,13.750159502029419
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [17, 41], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.1918274398646655,13.750159978866577
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 31], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.260013118171136,13.750160217285156
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 51], [20, 31], [41, 92], [24, 65], [24, 81]]",-2.3191627838293334,13.750160694122314
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [10, 31], [41, 92], [24, 65], [24, 81]]",-2.158937763516005,13.750160932540894
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [30, 31], [41, 92], [24, 65], [24, 81]]",-2.1596206801168463,13.750162124633789
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 21], [41, 92], [24, 65], [24, 81]]",-2.267308517550749,13.750162363052368
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 41], [41, 92], [24, 65], [24, 81]]",-2.2498082965116812,13.750162839889526
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [31, 92], [24, 65], [24, 81]]",-2.3795946470074325,13.750163316726685
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [51, 92], [24, 65], [24, 81]]",-1.8189577817721543,13.750163555145264
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 82], [24, 65], [24, 81]]",-2.206478600813689,13.750164031982422
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 102], [24, 65], [24, 81]]",-2.317689799501914,13.750164270401001
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [14, 65], [24, 81]]",-2.3497353893559967,13.75016474723816
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [34, 65], [24, 81]]",-2.116634965130438,13.750165224075317
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 55], [24, 81]]",-2.2336179057902887,13.750165700912476
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 75], [24, 81]]",-2.3877384678808666,13.750166416168213
1,"[[42, 19], [41, 30], [3, 50], [38, 8], [28, 97], [7, 41], [20, 31], [41, 92], [24, 65], [14, 81]]",-2.090494084887757,13.750166893005371
