proposal,fitness,cycle_time
"[[36, 7.112926672210474], [23, 38.93433343968681], [34, 56.674179215454636], [61, 88.9755484254507], [65, 85.36957785522729], [22, 37.464317055053854], [15, 30.133426347270998], [14, 68.7276210572062], [78, 22.077848420069103], [31, 82.64449644884539]]",-1.6766337188715381,0.355588436126709
"[[10, 67.74957380446196], [33, 64.90984913187972], [38, 56.53696724470405], [60, 40.207404711323456], [54, 92.13611993491638], [42, 16.19510450398981], [14, 66.72643105015827], [0, 73.24520542509495], [85, 98.64435445966993], [40, 67.1585642232096]]",-2.0315537093621794,0.355118989944458
"[[58, 22.449026998370456], [61, 87.87750492790514], [89, 1.0727229310739106], [35, 82.76206900770305], [85, 91.76118311137056], [24, 85.55858387892354], [7, 75.22243885307913], [24, 31.199141414426567], [22, 7.692303357891495], [90, 17.532366243414867]]",-1.9593291975066007,0.35565948486328125
"[[9, 68.43375547027082], [99, 43.19436937667827], [7, 6.798668320334766], [27, 3.4324339058725117], [84, 75.90250324754759], [33, 31.27919017803218], [95, 71.42540254420055], [40, 16.242212304294245], [32, 96.76345119668434], [31, 40.350667061668396]]",-2.155264639210691,0.3555004596710205
"[[99, 35.537253597022286], [95, 44.30208111763358], [15, 6.031939073623116], [80, 24.16723492054187], [28, 19.600668061247617], [75, 78.5248430486192], [2, 63.7944384162315], [76, 8.238703304810258], [7, 86.32349137824397], [32, 15.820513243275258]]",-3.0324485251366364,0.3571000099182129
"[[15, 70.1397513116509], [65, 71.07691334574369], [92, 61.81401811674757], [29, 69.90622190383412], [84, 39.465689764945544], [61, 40.764203204727835], [58, 0.4295939464721621], [59, 28.79356425098959], [22, 18.495442811836625], [23, 44.952778418593375]]",-1.6932160812624018,0.3558206558227539
"[[27, 16.802397865451933], [64, 83.9211308654864], [28, 40.65281116883239], [58, 31.377035443894197], [53, 88.23122579285562], [22, 31.70985937184332], [15, 25.270373397871815], [23, 11.562379390378009], [21, 54.78342584719677], [84, 15.50277458886259]]",-1.8378650465220123,0.35663580894470215
"[[69, 23.480286168973752], [61, 53.80301208326984], [74, 82.53450328132179], [79, 26.525460334495577], [30, 10.843269324882222], [33, 22.393250478615567], [25, 65.148952373298], [93, 30.16328330423691], [90, 25.171216958197775], [9, 7.932642149761038]]",1.5052276450711723,0.3557095527648926
"[[69, 68.12979611938339], [52, 9.915347609125691], [10, 16.265310936149803], [0, 97.9791902410262], [26, 75.82314310846684], [1, 64.97423794812964], [39, 76.12039644587455], [35, 72.32249014452744], [9, 61.57817218869751], [15, 42.850756191781954]]",-1.9385907129432915,0.3569779396057129
"[[92, 53.016138203607746], [49, 21.716584490085133], [77, 4.3350055273911785], [17, 42.41036884919905], [98, 58.65920404177625], [5, 99.71407212390615], [30, 61.47143510709976], [59, 97.41442317189646], [1, 94.27999888736448], [93, 62.08182656616498]]",1.5803418003073157,0.33422040939331055
"[[93, 96.65674568486264], [3, 2.9638947825082553], [62, 30.274360912339827], [0, 59.675494583060924], [4, 53.71676438483456], [1, 98.08604245613188], [64, 96.68365681718691], [66, 96.9419412566778], [57, 78.24188641126204], [66, 98.61062856914059]]",-2.9334621599628465,0.4866170883178711
"[[80, 47.12070676068733], [82, 23.869726527257807], [68, 90.15203370186345], [92, 6.5304996014473815], [28, 13.451462931046066], [0, 4.978142741597637], [37, 43.69904718404412], [99, 50.141435230250124], [99, 36.62463201525412], [61, 66.55578803846502]]",1.0119844134880636,0.4290432929992676
"[[83, 37.48121727992719], [36, 24.3627508929464], [76, 90.29225932340563], [99, 51.786440187801254], [5, 50.88621251291146], [100, 58.37480224108059], [34, 95.4039098303692], [97, 98.89587027869216], [56, 37.21317900090162], [4, 2.023388313836115]]",-2.3672794480094708,0.4224560260772705
