iteration,proposal,fitness,cycle_time,temperature
1,"[[21, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4780934157798926,13.512146949768066,0.96
1,"[[23, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.470476295864951,13.512148380279541,0.96
1,"[[22, 92], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4794185676361096,13.512149095535278,0.96
1,"[[22, 94], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.466883983366693,13.512149810791016,0.96
1,"[[22, 93], [38, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.467079044367306,13.512150764465332,0.96
1,"[[22, 93], [40, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4801872938359573,13.51215147972107,0.96
1,"[[22, 93], [39, 77], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.467780569433709,13.512152194976807,0.96
1,"[[22, 93], [39, 79], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.478509816957937,13.512153148651123,0.96
1,"[[22, 93], [39, 78], [41, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.464615111160086,13.51215386390686,0.96
1,"[[22, 93], [39, 78], [43, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4806124392038593,13.512154579162598,0.96
1,"[[22, 93], [39, 78], [42, 10], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4687412184376254,13.512155294418335,0.96
1,"[[22, 93], [39, 78], [42, 12], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4766347794701185,13.512156009674072,0.96
1,"[[22, 93], [39, 78], [42, 11], [45, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.499398057052656,13.512156963348389,0.96
1,"[[22, 93], [39, 78], [42, 11], [47, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4023782141039574,13.512157440185547,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 17], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.483886768346476,13.512158155441284,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 19], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.463534011789063,13.512158870697021,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [45, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4775246728621956,13.512160062789917,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [47, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4178526054762326,13.512161016464233,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 11], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4662282966312614,13.51216173171997,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 13], [7, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.479014534892398,13.512162208557129,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [6, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4764302225110773,13.512162923812866,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [8, 79], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.47008297067989,13.512163877487183,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 78], [46, 83], [21, 48], [3, 96], [34, 46]]",-2.4646323633722647,13.51216435432434,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 80], [46, 83], [21, 48], [3, 96], [34, 46]]",1.5191439908106015,13.512165069580078,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [45, 83], [21, 48], [3, 96], [34, 46]]",-2.513013140042095,13.512165546417236,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [47, 83], [21, 48], [3, 96], [34, 46]]",-2.3933504623014334,13.51216721534729,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 82], [21, 48], [3, 96], [34, 46]]",-2.475205267037825,13.512167930603027,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 84], [21, 48], [3, 96], [34, 46]]",-2.4697119092683257,13.512168645858765,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [20, 48], [3, 96], [34, 46]]",-2.4508746344101358,13.512169361114502,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [22, 48], [3, 96], [34, 46]]",-2.4898521211067925,13.51216983795166,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 47], [3, 96], [34, 46]]",-2.3699359844366517,13.512170553207397,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 49], [3, 96], [34, 46]]",-2.4792612924657327,13.512171030044556,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [2, 96], [34, 46]]",-2.472902172181222,13.512171745300293,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [4, 96], [34, 46]]",-2.472902172181222,13.512172222137451,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 95], [34, 46]]",-2.472902172181222,13.512172937393188,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 97], [34, 46]]",-2.472902172181222,13.512174367904663,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [33, 46]]",-2.482309702462646,13.512175559997559,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [35, 46]]",-2.4642156974807365,13.512176275253296,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 45]]",-2.4752398814329126,13.512177228927612,0.96
1,"[[22, 93], [39, 78], [42, 11], [46, 18], [46, 12], [7, 79], [46, 83], [21, 48], [3, 96], [34, 47]]",-2.471393994674927,13.51217770576477,0.96
7,"[[19, 66], [10, 88], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.036791562197638,14.001976013183594,0.7514474781081599
7,"[[21, 66], [10, 88], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.02583268884629,14.001977682113647,0.7514474781081599
7,"[[20, 65], [10, 88], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0258847307549717,14.001978158950806,0.7514474781081599
7,"[[20, 67], [10, 88], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.032448730551791,14.001978635787964,0.7514474781081599
7,"[[20, 66], [9, 88], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.026470142331861,14.001979351043701,0.7514474781081599
7,"[[20, 66], [11, 88], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0388435187511282,14.001980066299438,0.7514474781081599
7,"[[20, 66], [10, 87], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.030728090714371,14.001981258392334,0.7514474781081599
7,"[[20, 66], [10, 89], [51, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.035381887459425,14.00198221206665,0.7514474781081599
7,"[[20, 66], [10, 88], [50, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0293684957929856,14.001982688903809,0.7514474781081599
7,"[[20, 66], [10, 88], [52, 61], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0320572701600033,14.001983165740967,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 60], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.033401657343512,14.001984119415283,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 62], [47, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0291444312624005,14.001984596252441,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 61], [46, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.029376632915503,14.0019850730896,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 61], [48, 93], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0281393374663446,14.001985549926758,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 61], [47, 92], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.022229984325532,14.001986026763916,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 61], [47, 94], [40, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0390992873040212,14.001986980438232,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 61], [47, 93], [39, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.039566456345323,14.001987218856812,0.7514474781081599
7,"[[20, 66], [10, 88], [51, 61], [47, 93], [41, 78], [42, 55], [30, 40], [53, 34], [51, 80], [10, 9]]",2.0229201903721044,14.001987934112549,0.7514474781081599
